
FeatureName                                                       State
-----------                                                       -----
IIS-HttpCompressionStatic                                      Disabled
IIS-BasicAuthentication                                        Disabled
IIS-ManagementService                                          Disabled
IIS-ManagementConsole                                          Disabled
IIS-ISAPIFilter                                                Disabled
IIS-ISAPIExtensions                                            Disabled
IIS-CustomLogging                                              Disabled
IIS-ServerSideIncludes                                         Disabled
IIS-WMICompatibility                                           Disabled
MSMQ-Container                                                 Disabled
IIS-FTPExtensibility                                           Disabled
MSMQ-Server                                                    Disabled
MSMQ-DCOMProxy                                                 Disabled
IIS-LegacySnapIn                                               Disabled
IIS-LegacyScripts                                              Disabled
IIS-FTPSvc                                                     Disabled
IIS-FTPServer                                                  Disabled
WAS-ConfigurationAPI                                           Disabled
WAS-NetFxEnvironment                                           Disabled
IIS-StaticContent                                              Disabled
IIS-HostableWebCore                                            Disabled
IIS-Metabase                                                   Disabled
IIS-IIS6ManagementCompatibility                                Disabled
WAS-ProcessModel                                               Disabled
WAS-WindowsActivationService                                   Disabled
IIS-DefaultDocument                                            Disabled
IIS-ASPNET45                                                   Disabled
IIS-ASPNET                                                     Disabled
IIS-CGI                                                        Disabled
IIS-ASP                                                        Disabled
IIS-WebDAV                                                     Disabled
IIS-DirectoryBrowsing                                          Disabled
IIS-ApplicationInit                                            Disabled
IIS-WebSockets                                                 Disabled
MSMQ-ADIntegration                                             Disabled
Containers                                                     Disabled
NFS-Administration                                             Disabled
SMB1Protocol-Client                                            Disabled
SMB1Protocol                                                   Disabled
NetFx4Extended-ASPNET45                                        Disabled
NetFx4-AdvSrvs                                                  Enabled
ClientForNFS-Infrastructure                                    Disabled
ServicesForNFS-ClientOnly                                      Disabled
SMB1Protocol-Server                                            Disabled
MediaPlayback                                                   Enabled
MultiPoint-Tools                                               Disabled
Internet-Explorer-Optional-amd64                                Enabled
WindowsMediaPlayer                                              Enabled
SmbDirect                                                       Enabled
SMB1Protocol-Deprecation                                       Disabled
MultiPoint-Connector-Services                                  Disabled
MultiPoint-Connector                                           Disabled
WCF-TCP-Activation45                                           Disabled
WCF-HTTP-Activation45                                          Disabled
WCF-MSMQ-Activation45                                          Disabled
WCF-Pipe-Activation45                                          Disabled
MSMQ-Multicast                                                 Disabled
MSMQ-HTTP                                                      Disabled
WCF-Services45                                                  Enabled
MSMQ-Triggers                                                  Disabled
WCF-TCP-PortSharing45                                           Enabled
IIS-ODBCLogging                                                Disabled
IIS-IISCertificateMappingAuthentication                        Disabled
WCF-NonHTTP-Activation                                         Disabled
WCF-HTTP-Activation                                            Disabled
IIS-WindowsAuthentication                                      Disabled
IIS-CertProvider                                               Disabled
IIS-ClientCertificateMappingAuthentication                     Disabled
IIS-DigestAuthentication                                       Disabled
IIS-ManagementScriptingTools                                   Disabled
HypervisorPlatform                                             Disabled
Microsoft-Windows-Subsystem-Linux                              Disabled
Client-ProjFS                                                  Disabled
VirtualMachinePlatform                                         Disabled
MicrosoftWindowsPowerShellV2Root                                Enabled
SimpleTCP                                                      Disabled
Windows-Identity-Foundation                                    Disabled
MicrosoftWindowsPowerShellV2                                    Enabled
Microsoft-Windows-NetFx3-OC-Package                             Enabled
Microsoft-Hyper-V-All                                          Disabled
Containers-DisposableClientVM                                  Disabled
Microsoft-Hyper-V-Tools-All                                    Disabled
Microsoft-Hyper-V                                              Disabled
Microsoft-Windows-Client-EmbeddedExp-Package                    Enabled
Microsoft-Windows-NetFx4-US-OC-Package                          Enabled
Microsoft-Windows-NetFx4-WCF-US-OC-Package                      Enabled
Microsoft-Windows-NetFx3-WCF-OC-Package                         Enabled
MSRDC-Infrastructure                                            Enabled
SearchEngine-Client-Package                                     Enabled
TFTP                                                           Disabled
TelnetClient                                                   Disabled
Printing-PrintToPDFServices-Features                            Enabled
AppServerClient                                                Disabled
Printing-XPSServices-Features                                   Enabled
Windows-Defender-Default-Definitions                           Disabled
TIFFIFilter                                                    Disabled
Printing-Foundation-InternetPrinting-Client                     Enabled
FaxServicesClientPackage                                        Enabled
Printing-Foundation-LPRPortMonitor                             Disabled
Printing-Foundation-LPDPrintService                            Disabled
LegacyComponents                                               Disabled
WorkFolders-Client                                              Enabled
Printing-Foundation-Features                                    Enabled
DirectPlay                                                     Disabled
Microsoft-Hyper-V-Management-PowerShell                        Disabled
IIS-HealthAndDiagnostics                                       Disabled
IIS-NetFxExtensibility45                                       Disabled
IIS-LoggingLibraries                                           Disabled
IIS-HttpLogging                                                Disabled
IIS-HttpRedirect                                               Disabled
IIS-HttpErrors                                                 Disabled
IIS-NetFxExtensibility                                         Disabled
